lon,lat,elev_m,bouguer_mGal,acc_raw,local_x_perp_m,local_y_along_m
126.569508,-26.138121,455.9,-35.353,1.00,-14930.8,-44371.7
126.562008,-26.140291,455.0,-35.717,1.00,-15172.1,-45121.2
126.554168,-26.143951,454.1,-37.782,1.00,-15579.0,-45904.8
126.547338,-26.147621,451.9,-39.302,1.00,-15987.1,-46587.3
126.541338,-26.149621,449.8,-40.473,1.00,-16209.5,-47187.0
126.535168,-26.153621,448.6,-42.518,1.00,-16654.3,-47803.6
126.528508,-26.157952,446.8,-43.998,1.00,-17135.9,-48469.2
126.521009,-26.160792,445.2,-45.132,1.00,-17451.7,-49218.6
126.514840,-26.254622,429.7,-68.136,1.00,-27885.1,-49835.1
126.519340,-26.258452,428.5,-68.108,1.00,-28311.0,-49385.4
126.525170,-26.261622,429.1,-67.854,1.00,-28663.4,-48802.8
126.526010,-26.267792,427.5,-68.912,1.00,-29349.5,-48718.8
126.530340,-26.265792,427.2,-67.239,1.00,-29127.1,-48286.1
126.536510,-26.261792,428.8,-64.823,1.00,-28682.3,-47669.5
126.543840,-26.260622,430.3,-63.800,1.00,-28552.2,-46936.9
126.547010,-26.262122,435.2,-63.595,1.00,-28719.0,-46620.1
126.542510,-26.267122,432.1,-64.999,1.00,-29275.0,-47069.8
126.537010,-26.271792,426.9,-66.909,1.00,-29794.3,-47619.5
126.531510,-26.276952,429.7,-68.365,1.00,-30368.1,-48169.1
126.526010,-26.281622,429.7,-69.732,1.00,-30887.3,-48718.8
126.520170,-26.287452,427.9,-71.901,1.00,-31535.6,-49302.4
126.514670,-26.292292,423.9,-72.932,1.00,-32073.8,-49852.1
126.552739,-26.257722,433.3,-61.432,1.00,-28229.8,-46047.6
126.558439,-26.260622,438.8,-61.517,1.00,-28552.2,-45477.9
126.563839,-26.263222,440.4,-61.452,1.00,-28841.4,-44938.3
126.570139,-26.266222,443.1,-61.518,1.00,-29174.9,-44308.6
126.577139,-26.269122,443.4,-60.613,1.00,-29497.4,-43609.1
126.583839,-26.271722,446.1,-59.778,1.00,-29786.5,-42939.5
126.591439,-26.275222,453.4,-59.417,1.00,-30175.7,-42180.0
126.597339,-26.277922,450.4,-59.003,1.00,-30475.9,-41590.3
126.602339,-26.280122,455.0,-58.313,1.00,-30720.6,-41090.6
